title,subtitle,categories,authors,isbn13,thumbnail,description,num_pages
Spinoza,A Life,"biography, autobiography",Steven Nadler;Steven M. Nadler,9780521002936,http://books.google.com/books/content?id=iSe95FJrfeYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,The first complete biography of Spinoza in any language and is based on detailed archival research.,422.0
The Ethics and Politics of Asylum,Liberal Democracy and the Response to Refugees,law,Matthew J. Gibney,9780521009379,http://books.google.com/books/content?id=fdyhjrmpqx0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Over the last two decades, asylum has become a highly charged political issue across developed countries. This book draws upon political and ethical theory and an examination of the experiences of the United States, Germany, the United Kingdom and Australia to consider how to respond to the challenges of asylum. In addition to explaining why asylum has emerged as such a key political issue, it provides a compelling account of how states could move towards implenting morally defensible responses to refugees.",287.0
Who Needs Greek?,Contests in the Cultural History of Hellenism,history,Simon Goldhill,9780521011761,http://books.google.com/books/content?id=ylQBwT8PFlUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Lively study of conflicts about the meaning of Greek-ness in the modern and ancient worlds.,334.0
The Presocratic Philosophers,A Critical History with a Selcetion of Texts,philosophy,G. S. Kirk;J. E. Raven;M. Schofield,9780521274555,http://books.google.com/books/content?id=kFpd86J8PLsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,This book traces the intellectual revolution initiated by Thales in the sixth century B.C. to its culmination in the metaphysics of Parmenides.,518.0
Moral Luck,Philosophical Papers 1973-1980,philosophy,Bernard Williams,9780521286916,http://books.google.com/books/content?id=wMGW2Ehldp8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A new volume of philosophical essays by Bernard Williams. The book is a successor to Problems of the Self, but whereas that volume dealt mainly with questions of personal identity, Moral Luck centres on questions of moral philosophy and the theory of rational action. That whole area has of course been strikingly reinvigorated over the last deacde, and philosophers have both broadened and deepened their concerns in a way that now makes much earlier moral and political philosophy look sterile and trivial. Moral Luck contains a number of essays that have contributed influentially to this development. Among the recurring themes are the moral and philosophical limitations of utilitarianism, the notion of integrity, relativism, and problems of moral conflict and rational choice. The work presented here is marked by a high degree of imagination and acuity, and also conveys a strong sense of psychological reality. The volume will be a stimulating source of ideas and arguments for all philosophers and a wide range of other readers.",188.0
Problems of the Self,Philosophical Papers 1956-1972,philosophy,Bernard Williams,9780521290609,http://books.google.com/books/content?id=RwWEgc-m0U0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This is a volume of philosophical studies, centred on problems of personal identity and extending to related topics in the philosophy of mind and moral philosophy.",276.0
The Rise and Fall of Anne Boleyn,Family Politics at the Court of Henry VIII,history,Retha M. Warnicke,9780521406772,http://books.google.com/books/content?id=_iUIzcXV4toC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Retha Warnicke's fascinating and controversial reinterpretation focuses on the sexual intrigues and family politics pervading the court, offering a new explanation of Anne's fall.",338.0
Nations and Nationalism Since 1780,"Programme, Myth, Reality",history,E. J. Hobsbawm,9780521439619,http://books.google.com/books/content?id=-MycJ9mCn14C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Hobsbawm's classic account, revised in the light of recent political upheavals.",214.0
Foucault's Virginity,Ancient Erotic Fiction and the History of Sexuality,history,Simon Goldhill;Professor of Greek Literature and Culture and Fellow and Director of Studies in Classics Simon Goldhill,9780521479349,http://books.google.com/books/content?id=8B4AutVAp4sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"The sexy, witty and often bizarre novels, poetry and dialogues of the first centuries of this era (works such as Longus' Daphnis and Chloe, Achilles Tatius' Leukippe and Cleitophon and Plutarch's Amatorius) were being composed at the same time as fundamental ideas about the body, gender and sexuality were being set in place with the rise of Christianity and the Church to dominate the pagan world. Modern writers on the history of sexuality have largely ignored this literature in favour of prose treatises, philosophy and Christian homilies. Simon Goldhill, writing with the same wit and verve as the ancient writers with whom he engages, sets out to put these texts back into the history of sexuality. The result is a dazzling celebration of sex and sexuality in the Greek literature of the first centuries CE.",212.0
Nietzsche: Daybreak,Thoughts on the Prejudices of Morality,philosophy,Friedrich Nietzsche,9780521599634,http://books.google.com/books/content?id=FBFNTQlSa-8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,A new edition of this important work of Nietzsche's 'mature' philosophy.,292.0
Pearl S. Buck,A Cultural Biography,"biography, autobiography",Peter Conn;Peter J. Conn,9780521639897,http://books.google.com/books/content?id=fxeiP7INFNcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Describes the literary, social, and personal accomplishments of the Nobel- and Pulitzer-prize-winning author and activist.",500.0
Numerical Recipes Example Book (C++),The Art of Scientific Computing,computers,William T. Vetterling,9780521750349,http://books.google.com/books/content?id=gwijz-OyIYEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Contains C++ source programs that exercise and demonstrate all of the subroutines, procedures, and functions in Numerical Recipes in C++.",330.0
Genres in Dialogue,Plato and the Construct of Philosophy,"literary, collections",Andrea Wilson Nightingale,9780521774338,http://books.google.com/books/content?id=n3MeQikAp00C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,This 1995 book is an investigation into how Plato 'invented' the discipline of philosophy.,238.0
Myths of the Underworld Journey,"Plato, Aristophanes, and the 'Orphic' Gold Tablets",history,"Radcliffe G. Edmonds, III",9780521834346,http://books.google.com/books/content?id=yEswngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Plato, Aristophanes, and the creators of the ""Orphic"" gold tablets employ the traditional tale of a journey to the realm of the dead to redefine, within the mythic narrative, the boundaries of their societies. Rather than being the relics of a faded ritual tradition or the products of Orphic influence, these myths can only reveal their meanings through this detailed analysis of the specific ways in which each author makes use of the tradition.",276.0
Three Complete Novels,A Lloyd Alexander Collection,"juvenile, fiction",Lloyd Alexander,9780525467779,http://books.google.com/books/content?id=jFcAAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lucian flees the wrath of his king and joins a poet-turned-jackass and a girl with mystical powers; Prince Jen sets off for the court of Yuan-Min bearing six unusual gifts; and King Tamar embarks on a quest to recover his kingdom, which he lost in a dicegame.",752.0
The Last Eyewitness,The Final Week,bibles,Chris Seay;David B. Capes;Brian McLaren,9780529123459,http://books.google.com/books/content?id=60AJ6ko1jP0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A beautiful retelling of the last week in the life of Jesus Christ (from John 13-21), including 17 dramatic illustrations by Rob Pepper. This unique work captures the urgency of the last living disciple telling his students about the most significant event in history. It includes first person commentary told in John's voice with comments from Matthew, Mark, and Luke. The compelling story gives the reader the sense of being around a campfire with first century believers, hearing the story directly from John. So come into the story, smell the mixture of the salty air and billows of smoke floating from the bonfire and hear the Last Eyewitness.",144.0
